Date,AAPL,GOOGL,MSFT,PG,XOM
2005-01-03,64.78,197.4,26.8,55.65,51.02
2005-01-04,63.79,201.4,26.87,55.12,50.34
2005-01-05,64.46,193.45,26.84,55.28,49.83
2005-01-06,64.67,195.08,26.85,54.82,49.3
2005-01-07,65.0,190.64,26.82,55.15,50.12
2005-01-10,69.83,194.5,26.6,56.02,49.86
2005-01-11,68.25,195.62,26.69,55.92,49.83
2005-01-12,65.45,194.33,26.77,56.26,50.05
2005-01-13,73.71,195.38,26.68,56.0,50.59
2005-01-14,70.25,196.0,26.4,55.5,50.56
2005-01-18,69.85,200.97,26.03,55.48,50.95
2005-01-19,70.49,204.65,26.21,55.84,51.45
2005-01-20,69.65,192.5,25.84,56.3,50.65
2005-01-21,71.31,194.54,25.95,56.43,50.8
2005-01-24,70.98,188.69,25.76,54.9,50.94
2005-01-25,71.37,181.94,25.76,55.2,51.2
2005-01-26,72.66,179.27,26.07,55.71,51.5
2005-01-27,72.16,188.76,25.95,55.05,51.24
2005-01-28,72.62,190.02,26.54,52.15,51.37
2005-01-31,74.58,193.69,26.35,54.5,51.5
2005-02-01,77.05,194.38,26.25,53.45,51.98
2005-02-02,77.95,215.55,26.42,53.01,53.33
2005-02-03,79.1,205.99,26.37,53.34,53.85
2005-02-04,77.87,206.47,26.17,53.23,54.47
2005-02-07,78.93,205.26,26.27,52.62,55.12
2005-02-08,79.07,196.96,26.19,52.53,54.85
2005-02-09,81.04,200.76,26.25,52.0,55.48
2005-02-10,78.72,191.97,26.1,51.69,55.88
2005-02-11,79.86,186.66,26.03,51.7,56.34
2005-02-14,82.73,182.85,25.93,52.41,56.25
2005-02-15,86.66,193.6,26.0,52.89,56.69
2005-02-16,88.15,194.7,25.87,53.49,56.92
2005-02-17,90.65,197.83,25.71,53.29,58.7
2005-02-18,87.74,198.51,25.64,53.33,58.13
2005-02-22,86.3,196.5,25.25,53.15,59.5
2005-02-23,86.72,193.3,25.24,53.15,58.5
2005-02-24,88.48,183.37,25.18,53.6,59.6
2005-02-25,89.62,189.15,25.33,53.83,61.5
