year month day AAPL GOOGL MSFT PG XOM
2005 1 3 4.21 101.46 21.18 40.67 38.89
2005 1 4 4.25 97.35 21.26 40.16 38.62
2005 1 5 4.29 96.85 21.21 40.58 38.42
2005 1 6 4.29 94.37 21.19 40.78 38.91
2005 1 7 4.61 97.02 21.12 41.20 38.65
2005 1 10 4.59 97.63 21.23 41.53 38.80
2005 1 11 4.29 96.87 21.17 41.48 38.70
2005 1 12 4.35 97.79 21.21 41.64 39.27
2005 1 13 4.64 97.76 20.81 40.92 39.24
2005 1 14 4.67 100.09 20.69 41.17 39.65
2005 1 18 4.70 102.05 20.85 41.26 39.98
2005 1 19 4.65 98.75 20.58 41.95 39.63
2005 1 20 4.69 97.06 20.48 41.97 39.37
2005 1 21 4.69 94.23 20.32 41.19 39.16
2005 1 24 4.71 90.45 20.33 40.86 39.69
2005 1 25 4.79 88.65 20.61 41.25 39.85
2005 1 26 4.81 94.71 20.60 41.03 40.14
2005 1 27 4.83 94.13 20.68 40.94 40.17
2005 1 28 4.92 95.27 20.74 40.08 39.80
2005 1 31 5.11 97.91 20.81 39.40 40.06
2005 2 1 5.16 96.05 20.90 39.13 41.35
2005 2 2 5.30 103.08 20.96 39.52 41.87
2005 2 3 5.18 105.54 20.74 39.41 42.32
2005 2 4 5.24 102.28 20.85 38.95 42.92
2005 2 7 5.25 98.11 20.72 38.88 43.01
2005 2 8 5.38 99.42 20.78 38.47 43.51
2005 2 9 5.24 95.89 20.65 38.12 43.33
2005 2 10 5.21 94.08 20.64 38.21 43.95
2005 2 11 5.40 93.79 20.57 38.60 43.77
2005 2 14 5.63 96.59 20.60 39.01 44.33
2005 2 15 5.88 97.71 20.60 39.58 44.40
2005 2 16 5.99 99.30 20.49 39.46 45.62
2005 2 17 5.84 99.05 20.38 39.47 45.35
2005 2 18 5.77 99.07 20.24 39.60 46.35
2005 2 22 5.67 95.78 20.04 38.67 45.44
2005 2 23 5.87 97.07 20.02 39.59 46.35
2005 2 24 5.91 94.54 20.16 39.84 47.69
2005 2 25 5.92 93.03 20.06 40.11 49.35
2005 2 28 5.97 94.09 19.99 39.29 49.39
2005 3 1 5.92 93.12 20.08 39.60 48.44
2005 3 2 5.87 92.68 20.07 39.66 48.90
2005 3 3 5.56 93.60 20.00 39.58 49.19
2005 3 4 5.69 93.04 20.00 39.86 49.59
2005 3 7 5.69 94.50 20.24 39.75 49.15
2005 3 8 5.39 92.69 20.18 39.49 49.23
2005 3 9 5.23 90.77 20.11 39.23 47.42
2005 3 10 5.30 90.08 20.20 39.43 47.10
2005 3 11 5.36 88.99 19.93 38.86 47.63
2005 3 14 5.36 87.58 19.95 39.41 47.81
2005 3 15 5.45 89.39 19.79 39.17 47.08
2005 3 16 5.48 87.89 19.57 39.09 47.03
2005 3 17 5.62 89.73 19.50 39.04 47.97
2005 3 18 5.71 90.11 19.31 39.52 48.87
2005 3 21 5.81 90.53 19.23 39.04 48.48
2005 3 22 5.70 89.39 19.06 38.52 47.51
2005 3 23 5.66 89.58 19.21 39.10 46.88
2005 3 24 5.65 89.71 19.29 38.93 46.03
2005 3 28 5.66 90.80 19.23 38.86 45.94
2005 3 29 5.55 89.87 19.00 38.38 45.46
2005 3 30 5.69 90.32 19.19 39.49 46.21
2005 3 31 5.54 90.35 19.20 39.23 46.49
2005 4 1 5.44 90.11 19.16 38.94 47.24
2005 4 4 5.47 92.74 19.25 39.89 47.31
2005 4 5 5.57 94.38 19.44 39.97 46.85
2005 4 6 5.63 94.70 19.60 39.94 47.51
2005 4 7 5.79 96.98 19.94 40.76 47.47
2005 4 8 5.82 96.12 19.81 40.34 46.81
2005 4 11 5.58 96.71 19.84 40.96 47.03
2005 4 12 5.67 97.08 20.12 41.09 47.14
2005 4 13 5.46 96.56 19.89 40.86 46.14
2005 4 14 4.96 95.82 19.73 40.71 45.83
2005 4 15 4.70 92.59 19.43 40.56 43.83
2005 4 18 4.74 93.58 19.58 40.41 44.66
2005 4 19 4.93 95.80 19.57 40.21 45.74
2005 4 20 4.72 99.15 19.32 39.72 44.58
2005 4 21 4.95 102.21 20.08 40.32 46.25
2005 4 22 4.72 108.01 19.85 40.09 46.35
2005 4 25 4.92 111.88 19.85 40.05 46.78
2005 4 26 4.81 109.48 19.67 39.71 46.24
2005 4 27 4.78 110.00 19.85 39.82 45.54
2005 4 28 4.73 109.83 19.42 40.17 43.69
2005 4 29 4.80 110.11 20.10 40.29 44.49
2005 5 2 4.85 111.26 20.04 40.77 45.04
2005 5 3 4.82 113.21 20.15 40.84 44.08
2005 5 4 4.94 114.36 20.03 41.02 44.65
2005 5 5 4.88 113.60 20.04 40.75 45.09
2005 5 6 4.95 114.12 20.04 40.73 44.93
2005 5 9 4.92 113.12 19.95 40.90 45.25
2005 5 10 4.84 114.01 19.78 40.83 44.65
2005 5 11 4.74 115.76 19.79 41.28 44.92
2005 5 12 4.54 114.47 19.86 41.25 42.98
2005 5 13 4.62 114.73 20.10 40.73 42.11
2005 5 16 4.73 115.64 20.32 41.02 41.83
2005 5 17 4.70 116.68 20.29 41.39 42.23
2005 5 18 4.77 119.70 20.48 41.96 42.07
2005 5 19 4.99 119.71 20.66 42.12 42.99
2005 5 20 4.99 120.93 20.51 42.02 42.35
2005 5 23 5.29 127.85 20.60 42.02 42.93
2005 5 24 5.28 128.13 20.52 41.66 43.16
2005 5 25 5.29 130.54 20.49 41.46 43.66
2005 5 26 5.42 129.73 20.64 41.52 44.08
2005 5 27 5.40 133.13 20.78 41.48 44.54
2005 5 31 5.29 138.77 20.56 41.03 44.07
2005 6 1 5.36 144.14 20.57 41.75 44.81
2005 6 2 5.33 144.09 20.55 41.64 44.94
2005 6 3 5.09 140.27 20.27 41.12 44.81
2005 6 6 5.04 145.62 20.22 41.15 45.16
2005 6 7 4.86 146.71 20.33 41.25 45.05
2005 6 8 4.91 139.92 20.24 41.15 44.48
2005 6 9 5.01 143.30 20.33 41.07 45.82
2005 6 10 4.76 141.39 20.27 40.73 45.77
2005 6 13 4.78 141.52 20.17 40.41 45.83
2005 6 14 4.79 139.31 20.21 40.46 45.91
2005 6 15 4.94 137.54 20.13 40.47 46.46
2005 6 16 5.05 138.86 19.96 40.36 47.14
2005 6 17 5.10 140.29 19.96 40.49 47.74
2005 6 20 5.00 143.49 20.01 40.36 47.71
2005 6 21 5.04 144.06 20.04 40.42 46.66
2005 6 22 5.13 144.79 19.98 40.50 46.79
2005 6 23 5.17 145.00 20.17 39.92 46.28
2005 6 24 5.02 148.77 19.96 39.30 45.59
2005 6 27 4.93 152.20 19.96 39.19 46.50
2005 6 28 4.96 151.15 19.98 39.68 46.33
2005 6 29 4.84 146.51 20.00 39.78 45.82
2005 6 30 4.90 147.22 19.80 39.24 45.06
2005 7 1 4.86 145.77 19.69 39.36 45.72
2005 7 5 5.05 148.00 19.91 39.24 47.15
2005 7 6 4.97 145.91 19.69 39.06 46.35
2005 7 7 5.01 147.92 19.65 38.81 46.67
2005 7 8 5.09 148.26 20.00 39.40 46.57
2005 7 11 5.07 146.82 20.16 40.10 47.02
2005 7 12 5.09 146.04 20.41 40.13 46.96
2005 7 13 5.10 149.58 20.45 40.61 46.86
2005 7 14 5.42 150.60 20.70 40.73 45.94
2005 7 15 5.53 150.75 20.55 40.55 45.60
2005 7 18 5.52 149.92 20.36 40.64 45.59
2005 7 19 5.74 155.11 20.85 40.83 46.09
2005 7 20 5.80 156.16 20.87 41.14 46.26
2005 7 21 5.76 157.13 21.07 41.23 45.39
2005 7 22 5.85 151.35 20.47 41.12 46.65
2005 7 25 5.83 148.07 20.47 41.08 47.00
2005 7 26 5.80 148.19 20.36 41.21 46.73
2005 7 27 5.85 148.61 20.50 41.41 46.73
2005 7 28 5.83 146.90 20.52 41.74 47.05
2005 7 29 5.67 144.02 20.41 41.60 46.07
2005 8 1 5.69 145.95 20.66 41.37 46.44
2005 8 2 5.74 149.74 21.37 41.40 46.90
2005 8 3 5.75 148.80 21.72 41.13 46.26
2005 8 4 5.68 149.01 21.77 40.51 45.88
2005 8 5 5.72 146.32 22.12 40.46 45.55
2005 8 8 5.67 145.77 21.62 40.57 46.14
2005 8 9 5.83 145.93 21.80 40.34 46.62
2005 8 10 5.77 142.98 21.48 40.16 47.20
2005 8 11 5.85 142.17 21.73 40.13 48.02
2005 8 12 6.13 145.01 21.56 40.04 48.10
2005 8 15 6.34 142.14 21.69 40.52 47.61
2005 8 16 6.15 142.97 21.37 40.07 46.54
2005 8 17 6.27 142.69 21.54 39.95 45.84
2005 8 18 6.16 140.14 21.44 40.52 45.79
2005 8 19 6.10 140.14 21.36 40.78 46.35
2005 8 22 6.10 137.14 21.51 41.25 46.54
2005 8 23 6.08 139.93 21.48 41.43 46.49
2005 8 24 6.09 141.43 21.43 40.84 46.39
2005 8 25 6.13 141.44 21.61 41.13 46.63
2005 8 26 6.08 141.93 21.56 41.10 46.02
2005 8 29 6.10 144.37 21.70 41.61 46.03
2005 8 30 6.19 143.78 21.73 41.43 46.18
2005 8 31 6.24 143.14 21.89 41.49 47.20
2005 9 1 6.15 143.27 21.74 41.70 48.60
2005 9 2 6.15 144.37 21.60 41.87 47.81
2005 9 6 6.49 143.70 21.58 42.30 48.11
2005 9 7 6.48 147.58 21.46 42.07 48.43
2005 9 8 6.62 147.84 21.27 41.99 48.30
2005 9 9 6.83 149.69 21.25 42.55 49.80
2005 9 12 6.84 155.03 21.27 42.30 49.26
2005 9 13 6.76 156.00 21.17 41.53 48.75
2005 9 14 6.60 151.65 21.03 41.14 49.22
2005 9 15 6.63 151.46 21.00 41.50 49.21
2005 9 16 6.81 150.25 20.84 41.84 50.19
2005 9 19 7.00 152.05 20.78 41.55 50.92
2005 9 20 7.08 154.11 20.66 41.91 50.84
2005 9 21 6.93 156.11 20.38 41.80 51.19
2005 9 22 6.90 155.84 20.26 42.39 51.20
2005 9 23 7.08 157.84 20.20 42.43 50.29
2005 9 26 7.16 157.30 20.20 42.32 50.90
2005 9 27 7.11 157.13 20.26 42.70 50.92
2005 9 28 6.79 153.15 20.52 42.95 50.98
2005 9 29 6.96 154.96 20.74 43.48 51.06
2005 9 30 7.13 158.39 20.57 44.46 50.06
2005 10 3 7.24 159.50 20.38 44.35 49.24
2005 10 4 7.15 155.66 19.97 43.43 47.71
2005 10 5 7.02 155.51 19.72 42.71 46.45
2005 10 6 6.88 156.53 19.77 42.04 46.15
2005 10 7 6.82 156.65 19.66 41.91 46.96
2005 10 10 6.70 155.48 19.55 41.76 46.09
2005 10 11 6.86 153.20 19.51 41.88 46.80
2005 10 12 6.55 150.64 19.42 41.90 46.44
2005 10 13 7.15 148.87 19.66 42.03 45.83
2005 10 14 7.18 148.22 19.72 41.96 46.20
2005 10 17 7.11 152.65 19.61 41.71 46.38
2005 10 18 6.94 151.79 19.64 41.39 44.36
2005 10 19 7.31 154.50 20.06 41.84 45.05
2005 10 20 7.47 151.75 19.82 41.47 43.49
2005 10 21 7.40 170.12 19.81 41.19 43.63
2005 10 24 7.55 174.50 20.06 41.41 44.79
2005 10 25 7.46 173.63 20.01 41.78 45.07
2005 10 26 7.59 177.90 20.07 41.33 44.28
2005 10 27 7.37 176.71 19.86 41.35 43.81
2005 10 28 7.25 179.26 20.41 42.03 44.37
2005 10 31 7.66 186.26 20.54 42.08 44.23
2005 11 1 7.65 189.88 20.75 41.53 44.44
2005 11 2 7.97 190.03 21.15 41.83 45.21
2005 11 3 8.23 193.17 21.14 42.06 46.15
2005 11 4 8.13 195.41 21.31 42.03 45.62
2005 11 7 8.01 197.71 21.59 41.77 44.99
2005 11 8 7.97 195.15 21.62 41.87 45.43
2005 11 9 8.00 189.76 21.55 42.09 45.54
2005 11 10 8.14 195.75 21.65 42.37 44.71
2005 11 11 8.19 195.40 21.81 42.37 44.76
2005 11 14 8.17 198.68 21.88 42.03 44.86
2005 11 15 8.28 196.60 22.05 42.09 44.69
2005 11 16 8.64 199.27 22.24 42.54 45.28
2005 11 17 8.58 201.93 22.42 42.95 45.44
2005 11 18 8.59 200.31 22.50 43.18 46.13
2005 11 21 8.64 204.88 22.58 43.32 47.02
2005 11 22 8.85 208.44 22.38 42.95 47.25
2005 11 23 8.93 211.64 22.38 42.85 47.41
2005 11 25 9.22 214.52 22.26 43.05 47.60
2005 11 28 9.27 211.95 22.25 42.92 46.52
2005 11 29 9.06 201.97 22.19 43.35 46.20
2005 11 30 9.02 202.66 22.19 42.98 45.96
2005 12 1 9.52 207.25 22.36 43.32 47.00
2005 12 2 9.66 209.06 22.46 43.11 46.78
2005 12 5 9.55 203.13 22.33 43.16 47.13
2005 12 6 9.85 202.47 22.20 43.15 47.27
2005 12 7 9.84 202.31 22.25 42.87 46.74
2005 12 8 9.85 205.53 22.20 42.85 47.06
2005 12 9 9.89 204.80 22.22 43.09 46.33
2005 12 12 9.96 206.51 22.01 42.77 46.61
2005 12 13 9.97 208.95 21.75 43.98 46.77
2005 12 14 9.58 209.69 21.72 44.81 47.41
2005 12 15 9.60 211.49 21.58 44.34 47.11
2005 12 16 9.46 215.29 21.57 43.68 45.98
2005 12 19 9.49 212.51 21.51 44.01 45.70
2005 12 20 9.59 215.09 21.53 43.75 45.88
2005 12 21 9.78 213.38 21.43 43.98 45.62
2005 12 22 9.85 216.24 21.32 44.18 45.22
2005 12 23 9.76 215.68 21.36 44.25 45.22
2005 12 27 9.87 212.53 21.21 44.04 44.25
2005 12 28 9.79 213.56 21.16 44.00 44.55
2005 12 29 9.50 210.29 21.06 43.91 44.54
2005 12 30 9.56 207.64 20.96 43.50 44.48
2006 1 3 9.94 217.83 21.52 44.18 46.31
2006 1 4 9.97 222.84 21.62 44.26 46.38
2006 1 5 9.89 225.85 21.64 44.12 46.15
2006 1 6 10.15 233.06 21.57 44.07 47.07
2006 1 9 10.12 233.68 21.53 44.40 47.04
2006 1 10 10.76 235.12 21.65 44.23 47.41
2006 1 11 11.16 236.05 21.88 44.39 47.73
2006 1 12 11.21 232.05 21.76 43.90 47.23
2006 1 13 11.38 233.36 21.80 44.27 48.29
2006 1 17 11.27 233.79 21.64 44.08 48.74
2006 1 18 10.97 222.68 21.51 44.31 48.06
2006 1 19 10.51 218.44 21.66 44.19 48.70
2006 1 20 10.12 199.93 21.17 43.68 47.94
2006 1 23 10.33 213.96 21.12 43.53 48.47
2006 1 24 10.11 221.74 21.07 43.70 48.28
2006 1 25 9.87 216.72 21.17 44.16 47.68
2006 1 26 9.62 217.35 21.25 44.42 47.48
2006 1 27 9.58 216.96 22.28 45.12 48.54
2006 1 30 9.98 213.62 22.45 44.66 49.98
2006 1 31 10.04 216.55 22.57 44.73 49.69
2006 2 1 10.03 201.09 22.48 45.18 49.06
2006 2 2 9.59 198.22 22.19 45.05 49.06
2006 2 3 9.56 190.97 22.08 45.07 48.62
2006 2 6 8.95 192.74 21.78 45.15 49.08
2006 2 7 8.99 184.14 21.60 44.80 47.95
2006 2 8 9.15 184.72 21.57 44.91 48.08
2006 2 9 8.64 179.56 21.37 45.02 47.71
2006 2 10 8.95 181.49 21.40 45.09 47.32
2006 2 13 8.61 173.02 21.16 44.89 47.45
2006 2 14 9.00 171.83 21.37 45.19 47.41
2006 2 15 9.21 171.36 21.62 45.39 47.58
2006 2 16 9.39 183.41 21.57 45.86 47.97
2006 2 17 9.35 184.56 21.48 46.07 48.21
2006 2 21 9.19 183.48 21.35 45.98 48.37
2006 2 22 9.49 182.93 21.49 46.78 47.98
2006 2 23 9.54 189.22 21.45 46.43 47.63
2006 2 24 9.51 188.89 21.42 46.44 48.10
2006 2 27 9.44 195.39 21.76 46.33 47.71
2006 2 28 9.11 181.49 21.61 45.26 47.27
2006 3 1 9.19 182.58 21.83 45.39 48.04
2006 3 2 9.26 188.41 21.70 44.97 48.45
2006 3 3 9.01 189.28 21.66 45.06 48.55
2006 3 6 8.71 184.23 21.65 45.06 47.75
2006 3 7 8.82 182.41 21.77 45.54 47.65
2006 3 8 8.73 177.12 21.92 46.12 47.54
2006 3 9 8.50 171.67 21.72 46.37 46.91
2006 3 10 8.41 168.92 21.86 47.01 47.12
2006 3 13 8.74 168.70 21.81 46.81 47.48
2006 3 14 8.95 175.76 21.90 45.32 48.41
2006 3 15 8.81 172.42 22.01 45.24 48.58
2006 3 16 8.55 169.55 21.94 44.85 49.08
2006 3 17 8.60 170.07 22.12 44.63 48.61
2006 3 20 8.51 174.27 22.44 44.69 48.29
2006 3 21 8.22 170.13 22.31 44.58 48.34
2006 3 22 8.20 170.28 21.84 44.93 48.61
2006 3 23 8.00 171.12 21.60 44.29 48.76
2006 3 24 7.98 183.08 21.73 44.36 48.70
2006 3 27 7.92 185.03 21.73 44.02 48.80
2006 3 28 7.81 188.79 21.64 43.45 48.53
2006 3 29 8.29 197.69 21.74 43.61 48.79
2006 3 30 8.35 194.41 21.90 43.52 48.66
2006 3 31 8.34 195.20 21.89 43.52 48.45
2006 4 3 8.33 195.05 22.17 43.71 48.59
